"listing_id","source_payload_sha256","action","expected_status","new_status","also_hold_price","expected_price_status","new_price_status","canary_category","canary_priority"
"admission_ddd5a9edc94d6a3fe9fa465bad25a5be2dd56f2366c725f75de0100b71b6eb24","72ed8a744627aa4e929cb3ebca9f055b6339b9faf249f88be99cea56fa58d1c1","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_17357ba3d849132d6cfb0a9fa63ebe3228685735bf96c1b6ae2e81b66ef2292a","863d490e1236d0f7a07a15b3c7e63ca5530160177d5e4e106f2c422cd12ce05d","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_668f55d0073ea6dc82e7e94911da849687464a97a523d01a7c7dc2c65964af8d","8f0687d952dde995e27832daa48700acf699c7fd8bbe2f748d68f11197811fb1","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_e74191c7477c240d17a62e7525bd0e873c914f99b296f405a1e9164b8794e954","a97e41100eb2d1113b0079e58689baa8c5a2ec3224e5c762f39dd58d92816416","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_de7f55c7e49512ba249808e903d23da3af0936df6486b696e718f26fa660d5b5","486231e4b0edd17fcd253e5782239d3051c98b36f52140d1cbc534bef8d6b99a","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_6ebd120c952c729ca2a4c8101508ecd7bfafbac78e5a2c95a8817f4bdb734366","1ade8793d95a971b97a90158a410f975dd4f51b612984bbe0e03408af49f457c","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_ab47000f998cecdf2fde4dba6fa01e7e309b3082de68d185d297807216ab6c39","8d389c19d22a45780bedfb6abe3d9f49581fc08efa8cd0c84498909c946191f6","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","RAW_BRAND_CONFLICT","2"
"admission_ccaed6b4f66c24c46cf998345e5aeeff85947713c891e3179ad7bfe72543963e","39ec8f6cadb6d2f9ea12aca13858cd1454fe8b51f9259cdccf1b1dcc9f14ec0f","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_4633f11872f6f3e391c45bf6a262a0918175b3ecb28145e1e74518069855eb1d","ed445ee5bc927b76a2f89a485eff7370a4ef4ebe466d9c7ca0e3f68b8f02ae5d","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_247d1b1f06b47643187a70c48db80ef1b8491d1a197bc1f6c53ba98b098e427e","e1fb9a1e35a13d0b9cacace98147e03fae393aa0a15e3325c8641b90e8d99124","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","RAW_BRAND_CONFLICT","2"
"admission_36e29a9793f56b7f604f5ed39bd8ae5cd8c96837a48f2678cb806f1339b19a6c","07643f9de71f917baf248300e7e570093452f34be76b03f9031bb58ae8413724","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_b994c411b638452b7c1bb90ae1876c2691f618373521b4bfe42af28da3332678","76dc5e849dcbe34801d9ccd5097f1b7cd92341365f1dc41bba3f1006ea627b99","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_7552630bebe6aa3ae7ca4e40bfe2cdcafe2654ff0ed161bb9c8e016d29571a86","f4ce7495114869704f146f98c254dd192c23aec0c2d0540651017bc2d8f6ce25","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_1089120c558ea7050b36a6d35873183223f93381d0fe4cfa9850c35a808e7ad0","73012b324d291c43a5c7148dc88dfa64be8bcfe3fa4c178116f0b7a9ff2f577c","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_6a34622f9c525511cc9448a031d8369060e41fc8c1715ede85c545a04c9d7140","c8a4432828e0a5289b2a543fb63c93412f1c620330494af9e7b4dce29e662d29","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_3c9a30a3ac7abee47bcc4175a731f34286f4011f9a0110d74fad23be8211991a","5dc265dce0cacced2b349d4fcb2a62dfce00411616c2c64e5fd483252cabb2f5","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_8dcdbddf0142eb99b577bea88f653d385b8e21b532f8b54572f3c913a7bb2938","c6899a8c364e1b83eadcadceade1b608721407cce3b774c8db7ca4e731bebc7d","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_59e48036987c551099d0662dab4f188a52c97ab0e8ccdecbb8e10c8b5383c375","5ad6967f7a00b37946f28a6a81bbb654c589566451206a4bc5797fe91445f31d","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
