"listing_id","source_payload_sha256","action","expected_status","new_status","proposed_price_usd","source_currency","canary_category","canary_priority"
"admission_217de239ba6536bd5760cc903e89241ed8f20d36af68cd347462e367b737c89d","74e176f3dd76f9191cdf79af90514a214f4878e99e9bf944473a84a9f0d57945","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","17000","USD","BREGUET_EXACT_USD","170"
"admission_d9b4e228be9be3db11d015e78d33ed33731f99fe44d83ad53e88a4e7351c32fd","16a263e08ce85d277df452d01f64ab17a8c41bfbb05ca88ec74a8eb944e3ec6e","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","11600","USD","BREGUET_EXACT_USD","171"
"admission_92488757fc8522cc2a3a3c8ddffac95cf9df3250b52436e50f50a4ce6fa6538c","e8556915b1ddc59ab7672d2f9b769275082fea67c189468f948cec303ccb8ca9","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","19400","USD","BREGUET_EXACT_USD","172"
"admission_acce428792ff8159e72d05947d01e576f754562eca9ff78f0d6980d3f594e14a","eac36ac03f34e5ab095aae570daa1c3f5488e135bc1ebd93e69b55fa2a1e70bd","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","12300","USD","BREGUET_EXACT_USD","173"
"admission_bd5ec09a1e00d9c7960fa71eff6386876eaeaab3378d5c6c9c5bcae2582ff872","cfa0846f8e478566a4e6c1c12d39047a6ca2e79d7710b2ec160a1c87bbe9ed96","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","35200","USD","BREGUET_EXACT_USD","174"
"admission_9b6354a1fda9a4a0e5e231bbe1fc6c24db591f5798376795242efa4f81ee7e99","e125e3c9c2da85b59dab440c7d72d5ab02f22d53df5febfb52f342d5432340f2","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","320000","USDT","BREGUET_EXACT_USD","175"
"admission_fa0722650afeb19761c1e1299fba9fb76b630b77d603f680c13af607953c1a5d","190f9e47c69484665a9bc5d428f50a079c064a76824f1a4fb5fcda5448073d4a","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","8900","USD","BREGUET_EXACT_USD","176"
"admission_f7bd25c867ba06b9e31e3d3c6ba88d73a8284c7c614dc883ea06a422cbb64e05","f7db493d06cc388774a3fc484d979bde7ba8619402ad04bce1dfe8508dbfb0a1","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","59700","USD","BREGUET_EXACT_USD","177"
"admission_41abde40fdc5a5d18db0b3f14516bc3cb40614be64cf01ca872a2c482b43cad2","dc0ad29fcf9f48940a04ac1bfe797bf0b8d8aa23caca7c5337f13975ea2340ff","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","37700","USD","BREGUET_EXACT_USD","178"
"admission_a534820f6500f6e77c7d946e5d0635df4f87ab8d05c57b755db5754551603fb3","7194f63669301eead9a64e51f0c6fde9a41fb5c47c9d0d75d37cf9fb5358f56c","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","59900","USD","BREGUET_EXACT_USD","179"
"admission_34703a014991a2b22c3652699c10a8fb4fdab60c5035533f7f847e4444e776cd","d379774a025a72a04402cc08c9ab95c240a8310ff3c554bddaa21b4901dd4aae","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","14400","USD","BREGUET_EXACT_USD","180"
"admission_7554d9707ecbb0f80a931ce01a23f6020855f197203dfa2773b47c19bbf0f9aa","1b27aee33d05d5b3c75f2b439fa21c24424b4bac06f6fdfe3f251dd97f2fc310","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","40400","USD","BREGUET_EXACT_USD","181"
