"listing_id","source_payload_sha256","action","expected_status","new_status","target_price_evidence_status","null_price","canary_category","canary_priority"
"admission_0c394f2ff91d2efadd5b8986e2c1f12e7e7095bfd434a7de12e041da9bc9486a","15eb5097edff7e0302f8c8965060f3102d1a1406eaa1e5cce357068fd61232cd","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_0cf75ce9e0fe557a4c07ace3ecd1671b11843c0e39ce5b24ade7951cf1e0002b","b5cd2f70082fc22123c81cf3916a64dd768c0ada5d636af4c62f69c91749d83a","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_0e5715d9495f3255822bbe730e2556cd733116447432096ca76027e1c362c315","d6d60685a59cd275564b18157b3c45ad5eb1044627dc03eb5303b6db7f90e8c0","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_0ec39b3a9eb1b4e706b1cb53e9427d3ea5d60d0c70d85a1f20081260a68ccf1e","2b08dd9e03e62e2522e08b01f73e9e165df8fd49f0eeb678292e211d67be5669","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_1212aaf1e00aa78ead41aa18aeb5e92f780ececc37528cb05b24a36af0893d59","821108c4f2442070158feee440652542829b2ad5c89e73d7984ecfc619b35094","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_12b205b520e33395fa34a6f243cf87aa95513feeffc9eed0d6882411fab7a9c6","e4c08420defd7accaf893a16042e4abd5ae57ea9608df4546112bda6234b9886","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_NOT_SUPPLIED","PRICE_NOT_SUPPLIED","true","LEGACY_PRICE_NULL","1"
"admission_1405ecbcc4507ffa0e62b1def92d37df41a643f24f37325b193f92550fe8a5c0","49f6c78853780effaef0d1eb8821472f855d3661aa8a79e5c22494b128166f6b","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_1413e4c2fe9911c7d5410e4db293c22d6c23dbc9b01b233890131194b3fb049b","afc1cd38bf0403bb87f82dd64dc5c9685893a306593bcea04086e9ae44d5034f","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_148574b504f41436939eb586020292b917da679b77871e33fda9d25d38a47187","a6ae7a73fdc7d9b9fbdcace70f225ad21fc68818186f2e6cdb1a3265a355d5d2","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_1550e6cc037ae84e2dd11a90815e0ec52a9d611a29eb75d2c1d2ed9eac740da3","28542d266de1a6f44555114bc57788019983f264e33a78c9fd1ade0f918d1db5","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_166ba3ff1359663f74dfdd681134222c428efdbd5ddbedf71f5f2723122efb6b","e3a2cb432730a6b03e4f0bc4e5898113c945a5e53675af602d610021690b5fad","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_NOT_SUPPLIED","PRICE_NOT_SUPPLIED","true","LEGACY_PRICE_NULL","1"
"admission_18fc1b3b440163d16a79ea758b2101b60f1c8bd51385e52ff10320cd2898b24c","0a79d60eda12ab739c664938197bffa16b242786859dbf2eccc27d607a6a56ad","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_1c4d78b8d97a072c1a89b094057c979b1e04a3b84102f643f08d9c80a015b151","0779767082620a1ea15380a17d5d9873ff44ea88b57bb594e0c5fe6f4b62d222","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_1de5e0353debfea12b0aa4cd9c44397b0575dea438f8cef1357cc316455a8443","01752680391093dd432e401a664a3b2214047b3c3a35f4f221686377e8bf87a2","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_NOT_SUPPLIED","PRICE_NOT_SUPPLIED","true","LEGACY_PRICE_NULL","1"
